INFO: main: created ego vehicle vehicle.tesla.model3 with id 24
INFO: main: waiting for 3 seconds (60 ticks)
INFO: main: created sensor.other.imu
INFO: main: waiting for 10 seconds (200 ticks)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1478, timestamp=16.785166, accelerometer=Vector3D(x=-0.006213, y=0.000010, z=9.809999), gyroscope=Vector3D(x=-0.000001, y=-0.003937, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778645, z=0.001878), Rotation(pitch=-0.036282, yaw=90.334061, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1481, timestamp=16.935166, accelerometer=Vector3D(x=3743.332031, y=39745.996094, z=9.926567), gyroscope=Vector3D(x=-0.000001, y=-0.001598, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778503, z=0.001760), Rotation(pitch=-0.014651, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1483, timestamp=17.035166, accelerometer=Vector3D(x=-0.043755, y=0.000256, z=9.844799), gyroscope=Vector3D(x=0.000001, y=-0.000446, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778468, z=0.001730), Rotation(pitch=-0.009125, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1485, timestamp=17.135166, accelerometer=Vector3D(x=-0.005675, y=0.000038, z=9.814670), gyroscope=Vector3D(x=0.000001, y=-0.000559, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778443, z=0.001711), Rotation(pitch=-0.005772, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1487, timestamp=17.235166, accelerometer=Vector3D(x=-0.003054, y=0.000025, z=9.811893), gyroscope=Vector3D(x=0.000001, y=-0.000348, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778426, z=0.001697), Rotation(pitch=-0.003238, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1489, timestamp=17.335166, accelerometer=Vector3D(x=-0.003116, y=0.000027, z=9.812350), gyroscope=Vector3D(x=-0.000000, y=-0.000196, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778415, z=0.001688), Rotation(pitch=-0.001769, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1491, timestamp=17.435166, accelerometer=Vector3D(x=-0.003344, y=0.000029, z=9.812259), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778412, z=0.001686), Rotation(pitch=-0.001284, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1493, timestamp=17.535166, accelerometer=Vector3D(x=0.000515, y=0.000007, z=9.809604), gyroscope=Vector3D(x=0.000001, y=-0.000065, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778407, z=0.001682), Rotation(pitch=-0.000642, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1495, timestamp=17.635166, accelerometer=Vector3D(x=-0.001646, y=0.000020, z=9.811084), gyroscope=Vector3D(x=0.000000, y=-0.000043, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778405, z=0.001681), Rotation(pitch=-0.000492, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1497, timestamp=17.735166, accelerometer=Vector3D(x=0.000271, y=0.000009, z=9.809817), gyroscope=Vector3D(x=0.000002, y=-0.000024, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778404, z=0.001680), Rotation(pitch=-0.000246, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1499, timestamp=17.835166, accelerometer=Vector3D(x=-0.000021, y=0.000010, z=9.810245), gyroscope=Vector3D(x=-0.000000, y=-0.000013, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778403, z=0.001679), Rotation(pitch=-0.000123, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1501, timestamp=17.935166, accelerometer=Vector3D(x=-0.000646, y=0.000014, z=9.810306), gyroscope=Vector3D(x=0.000000, y=-0.000007, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778403, z=0.001679), Rotation(pitch=-0.000123, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1503, timestamp=18.035166, accelerometer=Vector3D(x=0.000314, y=0.000009, z=9.809726), gyroscope=Vector3D(x=0.000000, y=-0.000005, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1505, timestamp=18.135166, accelerometer=Vector3D(x=-0.000311, y=0.000012, z=9.810275), gyroscope=Vector3D(x=-0.000000, y=-0.000003, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
